Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450019295;BORNE_FONTAINE;GHM Ronde;68F;;COURS DE VINCENNES;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.404902066011573, 48.84744934199842], ""type"": ""Point""}";48.84744934199842,2.404902066011573
450024981;BORNE_FONTAINE;GHM Ville de Paris;50F;;RUE FABERT;PARIS 7EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.311664749078715, 48.858599866633746], ""type"": ""Point""}";48.858599866633746,2.311664749078715
450080504;BORNE_FONTAINE;GHM Ville de Paris;;1F;PLACE MARTIN NADAUD;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.394417067668072, 48.864948989044], ""type"": ""Point""}";48.864948989044,2.394417067668072
450073004;FONTAINE_ARCEAU;Fontaine Arceau;;;PLACE ANNE MARIE CARRIERE;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.334565911253296, 48.885954747828514], ""type"": ""Point""}";48.885954747828514,2.334565911253296
450025381;FONTAINE_BOIS;Wallace Bois;;;AVENUE DAUMESNIL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.419418975606872, 48.83471831212431], ""type"": ""Point""}";48.83471831212431,2.419418975606872
450026021;FONTAINE_BOIS;Ville de Paris Bois;;;ROUTE DES LACS A MADRID;PARIS 16EME ARRONDISSEMENT;NON;2021-12-03T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.258962467253844, 48.870694471346546], ""type"": ""Point""}";48.870694471346546,2.258962467253844
450025681;FONTAINE_BOIS;Wallace Bois;;;ROUTE CEINTURE LAC DAUMESNIL;PARIS 12EME ARRONDISSEMENT;NON;2021-11-26T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.414333042399205, 48.83278392789237], ""type"": ""Point""}";48.83278392789237,2.414333042399205
450019160;FONTAINE_BOIS;GHM Bois;;;SQUARE BREGUET-SABIN;PARIS 11EME ARRONDISSEMENT;NON;2021-11-25T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.371626138450225, 48.85846541897845], ""type"": ""Point""}";48.85846541897845,2.371626138450225
450071804;FONTAINE_BOIS;Particulier;;5F;JARDIN DU MUSEE DE CLUNY;PARIS 5EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.344163775053266, 48.85077142533565], ""type"": ""Point""}";48.85077142533565,2.344163775053266
450072433;FONTAINE_BOIS;GHM Bois;;;JARDIN DES SERRES D'AUTEUILS;PARIS 16EME ARRONDISSEMENT;NON;2021-11-26T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.25294482294174, 48.84712747547777], ""type"": ""Point""}";48.84712747547777,2.25294482294174
450072079;FONTAINE_BOIS;Ville de Paris Bois;;;PARC DE BAGATELLE;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.24641578579255, 48.870321996671315], ""type"": ""Point""}";48.870321996671315,2.24641578579255
450072242;FONTAINE_BOIS;GHM Bois;;;SQUARE HELOISE ET ABELARD;PARIS 13EME ARRONDISSEMENT;NON;2021-11-23T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.369797259417765, 48.83104356140474], ""type"": ""Point""}";48.83104356140474,2.369797259417765
450072524;FONTAINE_BOIS;GHM Bois;;25;RUE DES CLOYS;PARIS 18EME ARRONDISSEMENT;NON;2021-12-01T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.339225624650322, 48.89203249308772], ""type"": ""Point""}";48.89203249308772,2.339225624650322
450072210;FONTAINE_BOIS;Particulier;;57F;RUE DE CROULEBARBE;PARIS 13EME ARRONDISSEMENT;NON;2021-11-24T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.349001484694692, 48.831924522569224], ""type"": ""Point""}";48.831924522569224,2.349001484694692
450072229;FONTAINE_BOIS;Particulier;;43;RUE GANDON;PARIS 13EME ARRONDISSEMENT;NON;2021-11-23T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.363006362152599, 48.82057576595521], ""type"": ""Point""}";48.82057576595521,2.363006362152599
