Adresse;Nom du site;Code postal;Nombre de bornes;Etat du site;Code Site;geo_shape;geo_point_2d
BERGE DE SEINE RIVE DROITE - SORTIE TUNNEL TUILERIES;BERGES RIVE DROITE - PONT NEUF;75001;1;Opérationnel;PW0149;"{""coordinates"": [2.335822356054447, 48.85937332543368], ""type"": ""Point""}";48.85937332543368,2.335822356054447
5B RUE DU LOUVRE;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  1;75001;2;Opérationnel;PW0148;"{""coordinates"": [2.34115675500317, 48.8618833615023], ""type"": ""Point""}";48.8618833615023,2.34115675500317
32 RUE BERGER;JARDIN NELSON MANDELA;75001;2;Opérationnel;PW0110;"{""coordinates"": [2.34630372400731, 48.86146942215447], ""type"": ""Point""}";48.86146942215447,2.34630372400731
8 PORTE SAINT EUSTACHE;MEDIATHEQUE MUSICALE DE PARIS (HALLES);75001;2;Opérationnel;PW0020;"{""coordinates"": [2.345916105005208, 48.862650133028886], ""type"": ""Point""}";48.862650133028886,2.345916105005208
4 PLACE DU LOUVRE;QUARTIER JEUNES;75001;19;Opérationnel;PW0127;"{""coordinates"": [2.341064476164004, 48.860083526572126], ""type"": ""Point""}";48.860083526572126,2.341064476164004
1 PLACE DU LOUVRE;PREFOURRIERE LOUVRE;75001;1;Opérationnel;PW0227;"{""coordinates"": [2.340738421116781, 48.859324822757436], ""type"": ""Point""}";48.859324822757436,2.340738421116781
10 PASSAGE DE LA CANOPEE;MEDIATHEQUE LA CANOPEE LA FONTAINE;75001;5;Opérationnel;PW0143;"{""coordinates"": [2.347643903283826, 48.86181948548023], ""type"": ""Point""}";48.86181948548023,2.347643903283826
BERGE DE SEINE RIVE DROITE - SORTIE CHATELET;BERGES RIVE DROITE - PONT AU CHANGE;75001;1;Opérationnel;PW0193;"{""coordinates"": [2.347019924471973, 48.85742785373788], ""type"": ""Point""}";48.85742785373788,2.347019924471973
14 RUE DES PROUVAIRES;BIBLIOTHEQUE DU CINEMA FRANCOIS TRUFFAUT;75001;1;Opérationnel;PW0112;"{""coordinates"": [2.344154109508663, 48.86148891058231], ""type"": ""Point""}";48.86148891058231,2.344154109508663
BERGE DE SEINE RIVE DROITE - VIA FERRATA;BERGES RIVE DROITE - PONT AU CHANGE;75001;1;Opérationnel;PW0158;"{""coordinates"": [2.346563042652777, 48.857512783868636], ""type"": ""Point""}";48.857512783868636,2.346563042652777
8 RUE DE LA BANQUE;MAIRIE DU 2 EME;75002;1;Opérationnel;PW0034;"{""coordinates"": [2.340450799891371, 48.86683452754676], ""type"": ""Point""}";48.86683452754676,2.340450799891371
23 RUE GRENETA;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 2;75002;1;Opérationnel;PW0036;"{""coordinates"": [2.35054940319118, 48.86508140493411], ""type"": ""Point""}";48.86508140493411,2.35054940319118
17 RUE LEOPOLD BELLAN;CENTRE SPORTIF JEAN DAME;75002;1;Opérationnel;PW0082;"{""coordinates"": [2.345506505320458, 48.86656834849909], ""type"": ""Point""}";48.86656834849909,2.345506505320458
2 PASSAGE DES PETITS PERES;BIBLIOTHEQUE CHARLOTTE DELBO;75002;2;Opérationnel;PW0134;"{""coordinates"": [2.340434491489431, 48.866507580054055], ""type"": ""Point""}";48.866507580054055,2.340434491489431
50 RUE DES TOURNELLES;MAISON DES INITIATIVES ETUDIANTES;75003;7;Opérationnel;PW0070;"{""coordinates"": [2.36739182012952, 48.856221957138], ""type"": ""Point""}";48.856221957138,2.36739182012952
3 RUE EUGENE SPULLER;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 3/4;75003;1;Opérationnel;PW0019-1;"{""coordinates"": [2.362186544891376, 48.86402504205692], ""type"": ""Point""}";48.86402504205692,2.362186544891376
2 RUE EUGENE SPULLER;MAIRIE DU 3 EME;75003;2;Opérationnel;PW0019;"{""coordinates"": [2.361531961565591, 48.8639920263], ""type"": ""Point""}";48.8639920263,2.361531961565591
67 RUE TURBIGO;BOURSE DU TRAVAIL ANNEXE TURBIGO;75003;1;Opérationnel;PW0219;"{""coordinates"": [2.358004775693508, 48.86601657813311], ""type"": ""Point""}";48.86601657813311,2.358004775693508
27 RUE DE SEVIGNE;MUSEE CARNAVALET;75003;19;Opérationnel;PW0233;"{""coordinates"": [2.362975092932358, 48.85754315834629], ""type"": ""Point""}";48.85754315834629,2.362975092932358
8-12 RUE PORTEFOIN;BIBLIOTHEQUE MARGUERITE AUDOUX;75003;2;Opérationnel;PW0044;"{""coordinates"": [2.359846256600825, 48.86376892355013], ""type"": ""Point""}";48.86376892355013,2.359846256600825
85 RUE CHARLOT;BOURSE DU TRAVAIL ANNEXE CHARLOT;75003;1;Opérationnel;PW0220;"{""coordinates"": [2.365108017746905, 48.86514825320897], ""type"": ""Point""}";48.86514825320897,2.365108017746905
8 RUE ELZEVIR;MUSEE COGNACQ-JAY;75003;14;Opérationnel;PW0251;"{""coordinates"": [2.361460361201677, 48.85817283984132], ""type"": ""Point""}";48.85817283984132,2.361460361201677
21 RUE BLANCS MANTEAUX;MAISON DES ACTEURS DU PARIS DURABLE;75004;3;Fermé pour travaux;PW0192;"{""coordinates"": [2.356872775538012, 48.85904965674071], ""type"": ""Point""}";48.85904965674071,2.356872775538012
RUE DU CLOITRE NOTRE DAME;SQUARE JEAN XXIII - 2;75004;1;Opérationnel;PW0067;"{""coordinates"": [2.35079596200768, 48.852501475068166], ""type"": ""Point""}";48.852501475068166,2.35079596200768
4 PLACE DE L HOTEL DE VILLE;HOTEL DE VILLE 3EME;75004;3;Opérationnel;PW0122-4;"{""coordinates"": [2.352901785985004, 48.85632801355686], ""type"": ""Point""}";48.85632801355686,2.352901785985004
4 PLACE DE L HOTEL DE VILLE;HOTEL DE VILLE 2EME;75004;6;Opérationnel;PW0122-3;"{""coordinates"": [2.352685785891044, 48.85602609046494], ""type"": ""Point""}";48.85602609046494,2.352685785891044
30 PLACE DES VOSGES;SQUARE LOUIS XIII;75004;1;Opérationnel;PW0163;"{""coordinates"": [2.365658403131317, 48.855630783910044], ""type"": ""Point""}";48.855630783910044,2.365658403131317
4 PLACE DE L'HOTEL DE VILLE;HOTEL DE VILLE SOUS SOL;75004;3;Opérationnel;PW0122;"{""coordinates"": [2.352648313015422, 48.856763442143226], ""type"": ""Point""}";48.856763442143226,2.352648313015422
